age,gender,height_cm,current_weight,bmi,goal,daily_water_ml,weekly_workouts,weekly_workout_duration,weekly_calories_burned,predicted_weight_after_30_days
56,Male,152,53.5,23.2,General Fitness,1076,0,0,0,53.8
46,Female,181,89.6,27.3,Muscle Gain,3343,1,69,478,90.8
32,Male,198,56.9,14.5,Weight Loss,4290,4,456,2008,54.2
60,Female,177,52.6,16.8,Maintenance,4348,1,106,786,51.8
25,Female,191,133.3,36.5,General Fitness,2601,5,185,1630,133.2
38,Male,150,100.5,44.7,Muscle Gain,2671,7,238,3115,101.0
56,Female,188,105.9,30.0,Maintenance,3793,0,0,0,106.2
36,Male,184,80.2,23.7,Weight Loss,2734,3,204,2598,78.3
40,Female,189,130.9,36.6,Maintenance,4337,3,198,2352,131.1
28,Female,163,103.8,39.1,Maintenance,3947,4,136,2552,105.0
28,Female,176,116.9,37.7,Maintenance,3090,1,37,336,116.7
41,Male,171,76.9,26.3,Muscle Gain,2384,2,66,1970,77.3
53,Female,145,136.0,64.7,Muscle Gain,2251,0,0,0,137.4
57,Male,187,122.0,34.9,Maintenance,3274,3,267,2874,121.5
41,Female,196,125.4,32.6,Maintenance,2086,3,249,1044,125.6
20,Male,177,57.2,18.3,Weight Loss,1170,1,51,255,56.8
39,Male,184,67.1,19.8,Maintenance,4010,3,321,2661,68.4
19,Male,176,68.6,22.1,General Fitness,3809,6,288,3330,68.7
41,Female,149,67.1,30.2,General Fitness,3897,7,742,3192,66.4
47,Male,161,125.5,48.4,Weight Loss,4833,1,97,262,123.9
55,Female,152,43.2,18.7,Muscle Gain,3354,0,0,0,45.2
19,Male,186,47.6,13.8,Maintenance,2773,1,51,228,47.7
38,Male,178,67.4,21.3,Weight Loss,3615,3,282,2253,65.2
50,Male,153,60.0,25.6,Muscle Gain,4754,1,40,858,60.6
29,Male,200,63.2,15.8,Weight Loss,4991,3,135,2397,60.6
39,Female,167,119.8,43.0,Muscle Gain,4039,5,485,3835,121.1
42,Male,179,96.3,30.1,Maintenance,3081,4,292,1996,96.2
44,Male,194,40.6,10.8,Weight Loss,1826,3,351,2712,41.0
59,Female,151,82.9,36.4,Maintenance,2665,6,228,4866,83.1
45,Male,159,80.8,32.0,Weight Loss,1129,6,606,2484,78.4
33,Male,197,51.4,13.2,Muscle Gain,2417,6,642,2040,51.7
32,Male,198,107.6,27.4,Weight Loss,2174,6,648,4236,104.8
20,Male,164,110.2,41.0,General Fitness,3702,3,273,2280,110.7
54,Female,194,112.1,29.8,General Fitness,3677,3,345,2094,112.3
24,Female,169,112.8,39.5,Weight Loss,4787,4,176,3304,110.6
38,Male,147,40.0,18.5,General Fitness,2407,5,175,3505,41.6
26,Female,199,135.4,34.2,Maintenance,4818,7,210,6580,134.5
56,Female,190,121.4,33.6,General Fitness,2040,2,98,1926,122.0
35,Male,168,130.4,46.2,General Fitness,1593,3,195,2358,129.7
21,Female,178,41.6,13.1,Maintenance,2037,2,62,780,41.7
42,Male,190,133.4,37.0,Maintenance,3128,0,0,0,134.2
31,Female,166,121.0,43.9,Muscle Gain,4278,5,155,4370,121.7
26,Female,155,123.7,51.5,Maintenance,1203,7,224,5950,123.4
43,Female,192,49.3,13.4,Weight Loss,4450,1,36,248,48.7
19,Male,152,113.9,49.3,General Fitness,2807,2,226,1124,113.9
37,Female,183,136.0,40.6,Muscle Gain,2567,6,558,4956,137.4
45,Male,187,107.9,30.9,Maintenance,1022,5,350,4395,108.6
24,Male,179,97.1,30.3,General Fitness,3661,0,0,0,96.1
25,Female,193,134.6,36.1,Weight Loss,4233,5,350,2380,131.6
52,Male,190,84.3,23.4,Weight Loss,2633,1,34,246,83.7
31,Female,182,99.9,30.2,Muscle Gain,3191,3,354,2910,100.4
34,Male,152,87.6,37.9,Weight Loss,1103,3,333,1245,85.9
53,Male,198,133.3,34.0,General Fitness,2405,6,552,2574,133.4
57,Female,181,47.6,14.5,Maintenance,2478,3,90,2514,47.0
21,Female,171,90.1,30.8,Weight Loss,4488,4,216,2088,87.8
19,Female,172,108.7,36.7,Maintenance,3371,4,440,2480,108.9
23,Female,184,119.2,35.2,General Fitness,2194,4,300,1696,118.9
59,Male,178,98.3,31.0,General Fitness,1575,6,264,5166,97.5
21,Male,176,130.9,42.3,Maintenance,4827,4,392,1944,131.0
46,Male,159,134.2,53.1,General Fitness,2606,0,0,0,134.7
35,Female,188,46.4,13.1,Muscle Gain,1273,7,350,1491,47.5
43,Male,161,80.2,30.9,Weight Loss,1451,6,492,4992,75.1
51,Female,177,42.3,13.5,Muscle Gain,3928,5,420,2870,42.4
27,Male,191,72.9,20.0,Muscle Gain,1124,0,0,0,73.9
53,Female,190,93.7,26.0,Muscle Gain,4454,3,117,1596,94.8
31,Male,196,131.1,34.1,Maintenance,3364,1,110,365,130.9
48,Male,198,124.7,31.8,Maintenance,2866,4,344,2824,124.7
32,Female,160,52.7,20.6,General Fitness,3154,5,470,1580,52.6
25,Male,173,49.3,16.5,Maintenance,2683,1,66,835,49.4
31,Female,153,98.9,42.2,General Fitness,1906,6,216,4590,98.4
40,Male,177,93.2,29.7,Maintenance,4534,6,630,3828,93.3
57,Male,193,66.6,17.9,General Fitness,1429,0,0,0,66.2
38,Female,173,129.9,43.4,Weight Loss,3751,4,316,2624,126.8
33,Female,157,132.7,53.8,General Fitness,4408,6,180,2820,133.0
35,Male,165,80.3,29.5,Weight Loss,4809,0,0,0,79.5
41,Male,165,129.0,47.4,General Fitness,4825,0,0,0,128.7
43,Male,149,78.4,35.3,Maintenance,4567,2,194,624,79.4
42,Male,154,113.7,47.9,Maintenance,4019,5,595,1075,114.5
58,Male,150,87.6,38.9,Weight Loss,1361,0,0,0,87.0
46,Male,200,52.3,13.1,Muscle Gain,1795,3,153,1878,53.4
32,Female,195,132.8,34.9,Muscle Gain,1431,6,180,2004,133.3
18,Female,157,85.4,34.6,General Fitness,3722,0,0,0,85.2
42,Female,145,113.4,53.9,Maintenance,2543,4,128,3852,112.6
24,Male,164,76.7,28.5,Muscle Gain,1858,6,630,2898,78.4
26,Male,191,41.9,11.5,Maintenance,2429,7,350,2079,41.7
41,Male,190,50.1,13.9,Maintenance,4061,7,294,1813,49.7
18,Female,152,89.6,38.8,Maintenance,4448,6,540,2574,90.2
25,Female,154,109.0,46.0,General Fitness,4223,3,126,2526,109.9
41,Male,153,73.5,31.4,Weight Loss,2345,0,0,0,72.2
28,Male,193,109.5,29.4,General Fitness,2630,3,186,1074,109.3
34,Female,185,109.9,32.1,Muscle Gain,4285,0,0,0,110.3
25,Female,147,110.4,51.1,Weight Loss,1575,5,270,3975,107.2
52,Female,155,89.3,37.2,Muscle Gain,2088,3,156,1221,89.9
52,Male,156,131.5,54.0,Weight Loss,1892,1,117,373,130.2
50,Male,154,88.9,37.5,Weight Loss,1269,2,110,1998,86.1
22,Male,169,85.0,29.8,General Fitness,4608,3,99,840,84.9
59,Female,193,59.9,16.1,Maintenance,3019,4,256,868,60.5
56,Female,193,70.8,19.0,Maintenance,2123,7,728,6349,71.5
58,Male,169,44.2,15.5,Weight Loss,4176,2,108,980,42.3
45,Male,155,103.4,43.0,General Fitness,4202,2,98,1118,104.3
24,Female,198,64.9,16.6,Muscle Gain,4460,0,0,0,65.3
26,Male,180,70.4,21.7,Muscle Gain,4392,3,291,1788,71.5
25,Female,183,117.1,35.0,Maintenance,1437,5,260,4825,117.1
29,Female,197,72.7,18.7,Maintenance,2042,6,306,2046,72.3
51,Male,170,64.2,22.2,Muscle Gain,3272,2,182,1752,65.7
50,Female,158,56.9,22.8,Muscle Gain,2641,4,120,2864,57.7
40,Male,183,117.5,35.1,General Fitness,4637,7,616,3150,116.7
41,Female,200,53.0,13.2,Muscle Gain,4037,5,485,4305,53.7
54,Female,184,85.4,25.2,General Fitness,3507,7,336,5173,84.7
52,Male,145,90.7,43.1,Maintenance,3441,7,413,3052,90.8
57,Female,200,108.7,27.2,Muscle Gain,4297,5,150,1655,110.0
39,Male,198,103.3,26.3,Maintenance,3959,4,308,2020,103.8
44,Male,148,121.1,55.3,Weight Loss,2383,6,288,3342,117.8
52,Female,174,44.5,14.7,Weight Loss,2453,4,324,1936,42.7
18,Male,156,69.6,28.6,Weight Loss,4996,0,0,0,67.9
52,Male,200,68.0,17.0,Muscle Gain,1014,7,357,2534,69.1
54,Male,179,54.6,17.0,Maintenance,3607,1,79,618,54.8
31,Male,157,68.9,28.0,Muscle Gain,2674,6,570,5628,70.8
20,Male,196,71.0,18.5,Maintenance,2003,3,105,2001,70.0
18,Male,175,92.2,30.1,General Fitness,4617,2,186,1682,92.2
22,Female,182,106.4,32.1,Muscle Gain,3461,3,150,2307,107.1
43,Male,187,78.1,22.3,Weight Loss,2378,5,240,3530,75.4
31,Female,167,111.9,40.1,General Fitness,2480,2,132,1714,111.8
56,Female,148,73.6,33.6,Maintenance,2745,6,552,4062,73.8
44,Male,196,69.0,18.0,Muscle Gain,4602,0,0,0,69.4
26,Female,160,94.1,36.8,Maintenance,4046,7,623,3577,93.3
32,Female,151,42.4,18.6,Maintenance,4267,7,441,5831,42.1
32,Male,166,48.0,17.4,Muscle Gain,2861,3,90,2709,49.3
43,Male,173,81.8,27.3,Muscle Gain,1114,0,0,0,82.5
59,Male,155,134.3,55.9,Maintenance,4488,0,0,0,134.4
30,Female,200,112.2,28.0,Maintenance,2375,6,300,4884,112.1
49,Female,177,48.8,15.6,General Fitness,1975,3,189,1905,48.0
56,Male,173,124.6,41.6,Weight Loss,4146,3,165,1347,123.2
49,Male,183,113.2,33.8,Maintenance,2685,6,390,1326,113.0
21,Female,156,101.1,41.5,Weight Loss,3083,6,312,4056,98.1
